time,IPLA,IPref,ECEcore,SSXcore,LI,Q95,ZMAG,Vloop,IPE,Instability,Window
0.086,-291761.7,0.022460938,1141.5006,0.00213629,0.6617519,10.408838,0.020125447,-15.131053,-291761.72,0,4
0.087,-294271.3,0.022460938,1141.5006,0.0016785115,0.6617519,10.408838,0.020125447,-14.814156,-294271.34,0,4
0.088,-299235.4,0.022460938,1141.5006,0.0012207478,0.6617519,10.408838,0.020125447,-14.177364,-299235.44,0,4
0.089,-302144.8,0.022460938,1141.5006,0.0013733357,0.6617519,10.408838,0.020125447,-14.534914,-302144.84,0,4
0.09,-305233.22,0.022460938,1141.5006,0.001068145,0.6617519,10.408838,0.020125447,-13.460598,-305233.25,0,4
0.091,-306364.53,0.022460938,1141.5006,0.001068145,0.6617519,10.408838,0.020125447,-15.010758,-306364.56,0,4
0.092,-308423.12,0.022460938,1141.5006,0.0015259236,0.6617519,10.408838,0.020125447,-15.170707,-308423.16,0,4
0.093,-311803.78,0.022460938,1141.5006,0.0012207478,0.6617519,10.408838,0.020125447,-14.574901,-311803.8,0,4
0.094,-315239.88,0.022460938,1141.5006,0.0015259236,0.6617519,10.408838,0.020125447,-14.137377,-315239.9,0,4
0.095,-315402.44,0.022460938,1141.5006,0.0013733357,0.6617519,10.408838,0.020125447,-13.738841,-315402.47,0,4
0.096,-317120.88,0.022460938,1141.5006,0.0024414808,0.6617519,10.408838,0.020125447,-11.866787,-317120.9,0,4
0.097,-318438.84,0.022460938,1141.5006,0.0019837022,0.6617519,10.408838,0.020125447,-10.593868,-318438.88,0,4
0.098,-320378.4,0.022460938,1141.5006,0.0012207478,0.6617519,10.408838,0.020125447,-10.1150255,-320378.44,0,4
0.099,-322866.38,0.022460938,1141.5006,0.0028992593,0.6617519,10.408838,0.020125447,-8.283625,-322866.4,0,4
0.1,-323702.38,0.022460938,1141.5006,0.0018310994,0.6617519,10.408838,0.020125447,-8.601188,-323702.4,0,4
0.101,-323604.06,0.022460938,1141.5006,0.0013733357,0.6617519,10.408838,0.020125447,-7.965395,-323604.1,0,4
0.102,-323809.2,0.022460938,1141.5006,0.0016785264,0.6617519,10.408838,0.020125447,-7.965728,-323809.22,0,5
0.103,-325967.7,0.022460938,1141.5006,0.002288878,0.6617519,10.408838,0.020125447,-7.5285378,-325967.72,0,5
